date,EUR/EUR,JPY/EUR,USD/EUR,CNY/EUR,INR/EUR,RUB/EUR,CHF/EUR,MXN/EUR,AUD/EUR,KRW/EUR,,2010-01-01
2016-11-01,1,0.8248,0.9443,0.1371,0.01376,0.01472,0.9278,0.04589,0.6971,0.000797,,2016-12-01
2016-12-01,1,0.8131,0.9507,0.1368,0.01395,0.01551,0.9329,0.04584,0.6859,0.000801,,2017-01-01
2017-01-01,1,0.8207,0.9259,0.1345,0.01375,0.01537,0.9358,0.04444,0.7021,0.000798,,2017-02-01
2017-02-01,1,0.8379,0.9453,0.1376,0.01415,0.01616,0.9396,0.04699,0.7238,0.000805,,2017-03-01
2017-03-01,1,0.8424,0.9385,0.1362,0.01445,0.01668,0.9354,0.0501,0.7159,0.000832,,2017-04-01
2017-04-01,1,0.8224,0.9175,0.133,0.01422,0.0161,0.9218,0.04873,0.6867,0.000839,,2017-05-01
2017-05-01,1,0.8026,0.8892,0.1306,0.01385,0.0157,0.9186,0.04775,0.6606,0.000807,,2017-06-01
2017-06-01,1,0.7784,0.875,0.129,0.01355,0.01485,0.9129,0.04825,0.6725,0.000794,,2017-07-01
2017-07-01,1,0.7657,0.8443,0.1255,0.01315,0.01412,0.873,0.0474,0.6756,0.000764,,2017-08-01
2017-08-01,1,0.7632,0.8395,0.1274,0.01313,0.01446,0.8756,0.04692,0.6671,0.000747,,2017-09-01
2017-09-01,1,0.7522,0.8463,0.1272,0.01296,0.01469,0.8739,0.04635,0.6629,0.000739,,2017-10-01
2017-10-01,1,0.7554,0.8585,0.1294,0.01325,0.01471,0.8603,0.04483,0.6572,0.000767,,2017-11-01
2017-11-01,1,0.7463,0.8399,0.1269,0.01303,0.01436,0.8537,0.04508,0.6355,0.000772,,2017-12-01
2017-12-01,1,0.7394,0.8333,0.1281,0.01306,0.01445,0.8552,0.04239,0.6501,0.000781,,2018-01-01
2018-01-01,1,0.7371,0.805,0.1279,0.01267,0.01432,0.8641,0.04326,0.6484,0.000753,,2018-02-01
2018-02-01,1,0.7686,0.8199,0.1294,0.01257,0.01455,0.8678,0.0435,0.6364,0.000755,,2018-03-01
2018-03-01,1,0.7634,0.8114,0.1293,0.01247,0.0142,0.8498,0.04466,0.623,0.000765,,2018-04-01
2018-04-01,1,0.7571,0.8278,0.1307,0.01246,0.01314,0.8353,0.04423,0.6234,0.000773,,2018-05-01
2018-05-01,1,0.7858,0.8551,0.1334,0.01268,0.01371,0.8674,0.04293,0.6471,0.000791,,2018-06-01
2018-06-01,1,0.7729,0.8557,0.1292,0.0125,0.01361,0.8632,0.04294,0.6334,0.000768,,2018-07-01
2018-07-01,1,0.7644,0.8553,0.1254,0.0125,0.01367,0.8635,0.04586,0.6351,0.000768,,2018-08-01
2018-08-01,1,0.7757,0.8617,0.1261,0.01214,0.01275,0.8892,0.04512,0.6196,0.000772,,2018-09-01
2018-09-01,1,0.7575,0.8613,0.1254,0.01189,0.01312,0.8768,0.04599,0.6226,0.000776,,2018-10-01
2018-10-01,1,0.7825,0.8839,0.1267,0.01195,0.01341,0.8762,0.04344,0.6252,0.000774,,2018-11-01
2018-11-01,1,0.7785,0.8835,0.1268,0.01268,0.01316,0.8843,0.04328,0.6463,0.000789,,2018-12-01
2018-12-01,1,0.7954,0.8717,0.1267,0.01254,0.0125,0.8878,0.04435,0.6145,0.000783,,2019-01-01
2019-01-01,1,0.8021,0.8735,0.1303,0.01231,0.01336,0.8783,0.04572,0.6355,0.000785,,2019-02-01
2019-02-01,1,0.7894,0.8794,0.1313,0.01241,0.01333,0.8807,0.04559,0.6238,0.000781,,2019-03-01
